Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004,3,25,4,1118,1125,1231,1236,UA,425,N840UA,73,71,54,-5,-7,DEN,ABQ,349,3,16,0,,0,0,0,0,0,0
2004,3,25,4,810,815,1016,1033,UA,425,N840UA,246,258,211,-17,-5,PHL,DEN,1557,5,30,0,,0,0,0,0,0,0
2004,3,25,4,1529,1530,2101,2104,UA,426,N335UA,212,214,191,-3,-1,DEN,EWR,1605,7,14,0,,0,0,0,0,0,0
2004,3,25,4,1119,1125,1423,1441,UA,426,N335UA,124,136,111,-18,-6,SAN,DEN,853,4,9,0,,0,0,0,0,0,0
2004,3,25,4,1156,1155,1452,1444,UA,427,N567UA,236,229,199,8,1,ORD,PHX,1440,7,30,0,,0,0,0,0,0,0
2004,3,25,4,903,905,1047,1054,UA,427,N567UA,164,169,143,-7,-2,TPA,ORD,1012,5,16,0,,0,0,0,0,0,0
2004,3,25,4,1326,1330,1540,1552,UA,428,N371UA,134,142,111,-12,-4,LAX,PDX,834,5,18,0,,0,0,0,0,0,0
2004,3,25,4,1632,1440,1740,1558,UA,429,N542UA,128,138,116,102,112,DEN,SNA,846,3,9,0,,0,0,0,0,0,102
2004,3,25,4,1104,1110,1306,1320,UA,429,N537UA,242,250,218,-14,-6,EWR,DEN,1605,6,18,0,,0,0,0,0,0,0
2004,3,25,4,1619,1623,1733,1736,UA,430,N831UA,74,73,57,-3,-4,ABQ,DEN,349,7,10,0,,0,0,0,0,0,0
2004,3,25,4,1824,1826,2354,2357,UA,430,N831UA,210,211,188,-3,-2,DEN,EWR,1605,5,17,0,,0,0,0,0,0,0
2004,3,25,4,2036,2030,2300,2303,UA,431,N434UA,264,273,246,-3,6,BOS,DEN,1754,6,12,0,,0,0,0,0,0,0
2004,3,25,4,1329,1330,1620,1619,UA,432,N325UA,111,109,82,1,-1,ORD,CLT,599,5,24,0,,0,0,0,0,0,0
2004,3,25,4,910,918,1146,1158,UA,432,N325UA,156,160,139,-12,-8,SAT,ORD,1041,4,13,0,,0,0,0,0,0,0
2004,3,25,4,1900,1910,2002,2013,UA,433,N926UA,122,123,101,-11,-10,MSP,DEN,680,6,15,0,,0,0,0,0,0,0
2004,3,25,4,2251,2250,449,447,UA,434,N830UA,238,237,224,2,1,SJC,ORD,1829,4,10,0,,0,0,0,0,0,0
2004,3,25,4,1709,1710,1853,1850,UA,435,N932UA,164,160,143,3,-1,DEN,OAK,957,6,15,0,,0,0,0,0,0,0
2004,3,25,4,1535,1544,1617,1625,UA,435,N315UA,102,101,85,-8,-9,TUL,DEN,541,7,10,0,,0,0,0,0,0,0
2004,3,25,4,1225,1225,1709,1710,UA,436,N459UA,164,165,138,-1,0,DEN,ATL,1199,9,17,0,,0,0,0,0,0,0
2004,3,25,4,757,800,1128,1132,UA,436,N459UA,151,152,125,-4,-3,SFO,DEN,967,7,19,0,,0,0,0,0,0,0
2004,3,25,4,1420,1422,1529,1533,UA,437,N831UA,69,71,53,-4,-2,DEN,ABQ,349,3,13,0,,0,0,0,0,0,0
2004,3,25,4,1111,1120,1308,1326,UA,437,N831UA,237,246,214,-18,-9,PHL,DEN,1557,5,18,0,,0,0,0,0,0,0
2004,3,25,4,1920,1815,2215,2057,UA,438,N931UA,115,102,72,78,65,ORD,ROC,528,7,36,0,,0,7,0,13,0,58
2004,3,25,4,1954,1950,2113,2115,UA,439,N842UA,139,145,118,-2,4,DEN,LAX,862,6,15,0,,0,0,0,0,0,0
2004,3,25,4,1819,1830,2321,2330,UA,440,N303UA,182,180,164,-9,-11,DEN,CLT,1337,3,15,0,,0,0,0,0,0,0
2004,3,25,4,1706,1637,1800,1657,UA,441,N367UA,114,80,92,63,29,DTW,ORD,235,5,17,0,,0,0,0,55,0,8
2004,3,25,4,1841,1745,2119,1915,UA,441,N367UA,158,90,108,124,56,ORD,MSP,334,5,45,0,,0,6,0,68,0,50
2004,3,25,4,929,934,1145,1145,UA,442,N909UA,76,71,48,0,-5,ORD,DTW,235,6,22,0,,0,0,0,0,0,0
2004,3,25,4,1537,1540,1701,1704,UA,443,N310UA,144,144,127,-3,-3,DEN,LAX,862,4,13,0,,0,0,0,0,0,0
2004,3,25,4,2323,2325,511,515,UA,444,N813UA,228,230,212,-4,-2,SMF,ORD,1781,5,11,0,,0,0,0,0,0,0
2004,3,25,4,1553,1545,1904,1834,UA,446,N314UA,131,109,87,30,8,ORD,CLT,599,13,31,0,,0,6,0,22,0,2
2004,3,25,4,1104,1055,1512,1457,UA,446,N314UA,188,182,174,15,9,SLC,ORD,1249,5,9,0,,0,0,0,6,0,9
2004,3,25,4,855,841,1011,952,UA,447,N924UA,76,71,50,19,14,DEN,ABQ,349,7,19,0,,0,14,0,5,0,0
2004,3,25,4,1539,1545,2115,2035,UA,448,N807UA,216,170,141,40,-6,DEN,ATL,1199,9,66,0,,0,0,0,40,0,0
2004,3,25,4,1121,1125,1447,1453,UA,448,N807UA,146,148,119,-6,-4,SJC,DEN,948,12,15,0,,0,0,0,0,0,0
2004,3,25,4,1122,1115,1238,1239,UA,449,N373UA,76,84,62,-1,7,DEN,BIL,455,3,11,0,,0,0,0,0,0,0
2004,3,25,4,926,917,1047,1027,UA,449,N373UA,141,130,99,20,9,MSP,DEN,680,5,37,0,,0,9,0,11,0,0
